[l_1, u_1] | [l_2, u_2]; action; prediction; prediction error; fitness; numerosity; experience
[0.4844058693885068, 0.12737088623884188] | [0.24555871171828442, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.04783628585088684;7;24266
[1.0, 1.0] | [0.4952082237707486, 0.3927109325216509];java.awt.Color[r=255,g=255,b=0];5.000041515318336;6.16920519415406E-4;0.005502650465086036;1;0
[0.7994704425123235, 1.0] | [1.0, 0.8497455047008677];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.07150938866112898;13;8222
[0.5175506801289846, 0.1702418588444813] | [0.3131770055788128, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.06526296232733877;14;29692
[0.5174535615959017, 0.14793212602745734] | [0.24555871171828442, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.05482814090910105;8;24940
[0.8542470724682608, 1.0] | [0.08865307168223713, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.04537458858287975;8;3578
[0.2936901163723542, 0.2123105801563232] | [0.3676768492717177, 0.3133335762156977];java.awt.Color[r=139,g=69,b=19];999.9999999999999;1.1368683772161605E-13;0.15885275359073076;7;1278
[0.3807699839673532, 0.5320262873444667] | [0.30776851952278533, 0.1802170256945243];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.1070451798492809;14;5148
[0.9809588190016552, 0.8097514276644451] | [0.10378090629608333, 0.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.06593673998240034;9;4572
[0.8073592299160026, 1.0] | [0.02072932616925862, 0.2377191373238548];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.029664596397038067;5;10936
[0.5234469562335775, 0.6864200542443937] | [0.0, 0.11752328183891822];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.15028082128132675;13;5102
[0.7828740084167003, 1.0] | [0.5953652564087729, 0.31588108562288997];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.030013261500992136;7;16384
[0.2154978152606589, 0.0] | [1.0, 0.779105529344916];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.05342773836049826;12;12846
[0.5088637199504935, 0.9556635070788324] | [0.2565875114267984, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.06232737218828827;12;30198
[0.25378303185359863, 0.4359818853556699] | [0.24761947486442015, 0.341422715881865];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.11142809961073744;8;4496
[0.7798270923525537, 0.9989147211552908] | [0.24823723021598554, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.09403499181921253;14;14314
[0.3711905196767767, 0.19038568331072986] | [0.38613665351917026, 0.5076557792405708];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.10389648622011097;12;5622
[0.5431401206508193, 0.8475793080640989] | [0.12484684792332998, 0.0];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.10502279294794915;10;10264
[0.7635071080583569, 1.0] | [0.02072932616925862, 0.2377191373238548];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.051680257909431204;10;13376
[0.6884722085434992, 0.8549421056011315] | [0.8603826151229184, 0.6747991873776349];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.05802419588786605;8;8262
[1.0, 0.7488694644248138] | [0.5717344880497109, 0.9108391153063918];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05897364188984275;11;22236
[0.8378869401366457, 1.0] | [1.0, 0.9143887005664431];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.1487945782607912;8;3730
[1.0, 0.6905745114832292] | [0.6142933729811155, 0.8143025289257965];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.12088264231913437;23;16082
[0.6546750117604287, 1.0] | [0.7056819273617025, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03272619026983449;7;26286
[0.0, 0.11235723612581212] | [0.2483930397800433, 0.4380848773679032];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.10566613391802443;11;5424
[0.7324827806612592, 1.0] | [0.0, 0.41200746090435136];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.038541510980589666;5;28870
[1.0, 0.9691322096858431] | [0.16527817393825586, 0.16495126027131593];java.awt.Color[r=255,g=255,b=255];10.0;0.0;0.001;1;0
[0.569881668072904, 0.032414141923112504] | [0.3673537989492531, 0.6161850877240248];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.02496729144191306;6;34640
[0.6875583636331449, 1.0] | [0.0, 0.37395573999683795];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.05137706865938886;7;30512
[0.43605189555510376, 0.0] | [0.3813755038622545, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.041502593637831146;9;43162
[0.7617417979548643, 0.6112783310420232] | [0.0, 0.10664998615960146];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.09195223539194171;20;4134
[0.9024640267603645, 1.0] | [0.12033412670044066, 0.0];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.1344627811941182;14;2950
[0.7828740084167003, 1.0] | [0.5970528130074609, 0.31588108562288997];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03855471997207213;9;16246
[0.569881668072904, 0.10232693508422958] | [0.348029771232536, 0.6227271832440165];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.06788349067743024;16;33128
[0.6884722085434992, 0.9766306434557808] | [0.6274850938231271, 0.7777965277085773];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.08410724625445486;11;11342
[0.40672309635902876, 0.05487078993841219] | [0.24915076694261468, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.04917426034592585;7;22706
[0.5002652228322662, 0.5540846383554576] | [0.30613712113599406, 0.1960670565291899];java.awt.Color[r=255,g=255,b=255];7.410057390388536E-177;3.939680512556585E-174;0.06924248477061892;4;1482
